I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
190.437012,190.025024,-71.538071,-71.538208,-191.260986,0.000000,0.000000,0.000000,0.000000,0.000000
192.052002,191.656494,-70.767036,-70.767532,-192.826538,0.000000,0.000000,0.000000,0.000000,0.000000
193.562622,193.200073,-69.963440,-69.964249,-194.249268,0.000000,0.000000,0.000000,0.000000,0.000000
194.913940,194.578857,-69.127541,-69.128586,-195.573120,0.000000,0.000000,0.000000,0.000000,0.000000
196.199341,195.891724,-68.259567,-68.258850,-196.781616,0.000000,0.000000,0.000000,0.000000,0.000000
197.347412,197.067261,-67.359848,-67.361160,-197.885742,0.000000,0.000000,0.000000,0.000000,0.000000
198.391113,198.143921,-66.428581,-66.428009,-198.858032,0.000000,0.000000,0.000000,0.000000,0.000000
199.297485,199.077759,-65.466110,-65.465508,-199.720459,0.000000,0.000000,0.000000,0.000000,0.000000
200.099487,199.918213,-64.472771,-64.473991,-200.429077,0.000000,0.000000,0.000000,0.000000,0.000000
200.720215,200.577393,-63.448887,-63.448910,-200.978394,0.000000,0.000000,0.000000,0.000000,0.000000
201.187134,201.088257,-62.394829,-62.395500,-201.373901,0.000000,0.000000,0.000000,0.000000,0.000000
201.522217,201.450806,-61.310898,-61.311207,-201.632080,0.000000,0.000000,0.000000,0.000000,0.000000
201.697998,201.665039,-60.197540,-60.197350,-201.719971,0.000000,0.000000,0.000000,0.000000,0.000000
201.719971,201.719971,-59.055119,-59.055347,-201.676025,0.000000,0.000000,0.000000,0.000000,0.000000
201.593628,201.637573,-57.884094,-57.884594,-201.478271,0.000000,0.000000,0.000000,0.000000,0.000000
201.335449,201.406860,-56.684875,-56.685539,-201.170654,0.000000,0.000000,0.000000,0.000000,0.000000
200.989380,201.082764,-55.457924,-55.457680,-200.780640,0.000000,0.000000,0.000000,0.000000,0.000000
200.538940,200.659790,-54.203705,-54.203381,-200.275269,0.000000,0.000000,0.000000,0.000000,0.000000
199.984131,200.132446,-52.922699,-52.922169,-199.698486,0.000000,0.000000,0.000000,0.000000,0.000000
199.401855,199.550171,-51.615395,-51.615551,-199.110718,0.000000,0.000000,0.000000,0.000000,0.000000
198.808594,198.956909,-50.282326,-50.283028,-198.495483,0.000000,0.000000,0.000000,0.000000,0.000000
198.149414,198.325195,-48.924019,-48.924126,-197.803345,0.000000,0.000000,0.000000,0.000000,0.000000
197.435303,197.622070,-47.541012,-47.540424,-197.067261,0.000000,0.000000,0.000000,0.000000,0.000000
196.699219,196.885986,-46.133877,-46.134369,-196.342163,0.000000,0.000000,0.000000,0.000000,0.000000
195.957642,196.149902,-44.703186,-44.703640,-195.567627,0.000000,0.000000,0.000000,0.000000,0.000000
195.172119,195.369873,-43.249542,-43.249832,-194.782104,0.000000,0.000000,0.000000,0.000000,0.000000
194.392090,194.584351,-41.773537,-41.773514,-193.996582,0.000000,0.000000,0.000000,0.000000,0.000000
193.573608,193.793335,-40.275810,-40.276264,-193.134155,0.000000,0.000000,0.000000,0.000000,0.000000
192.689209,192.908936,-38.756996,-38.757790,-192.260742,0.000000,0.000000,0.000000,0.000000,0.000000
191.826782,192.046509,-37.217743,-37.217709,-191.387329,0.000000,0.000000,0.000000,0.000000,0.000000
190.942383,191.167603,-35.658714,-35.658665,-190.486450,0.000000,0.000000,0.000000,0.000000,0.000000
190.019531,190.255737,-34.080635,-34.080391,-189.525146,0.000000,0.000000,0.000000,0.000000,0.000000
188.997803,189.261475,-32.484127,-32.483551,-188.459473,0.000000,0.000000,0.000000,0.000000,0.000000
187.921143,188.184814,-30.869896,-30.869820,-187.360840,0.000000,0.000000,0.000000,0.000000,0.000000
