I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
-158.060303,-157.593384,101.164551,101.164223,159.010620,0.000000,0.000000,0.000000,0.000000,0.000000
-159.955444,-159.477539,100.214470,100.213814,160.889282,0.000000,0.000000,0.000000,0.000000,0.000000
-161.817627,-161.356201,99.242310,99.243271,162.751465,0.000000,0.000000,0.000000,0.000000,0.000000
-163.668823,-163.207397,98.248215,98.248779,164.569702,0.000000,0.000000,0.000000,0.000000,0.000000
-165.470581,-165.025635,97.232361,97.230545,166.382446,0.000000,0.000000,0.000000,0.000000,0.000000
-167.272339,-166.827393,96.194901,96.194557,168.145752,0.000000,0.000000,0.000000,0.000000,0.000000
-169.030151,-168.596191,95.136002,95.135147,169.892578,0.000000,0.000000,0.000000,0.000000,0.000000
-170.925293,-170.491333,94.055832,94.056374,171.732788,0.000000,0.000000,0.000000,0.000000,0.000000
-172.534790,-172.133789,92.954582,92.954521,173.342285,0.000000,0.000000,0.000000,0.000000,0.000000
-174.155273,-173.748779,91.832428,91.833679,174.935303,0.000000,0.000000,0.000000,0.000000,0.000000
-175.726318,-175.330811,90.689560,90.690117,176.484375,0.000000,0.000000,0.000000,0.000000,0.000000
-177.253418,-176.868896,89.526215,89.525986,178.000488,0.000000,0.000000,0.000000,0.000000,0.000000
-178.747559,-178.379517,88.342522,88.343452,179.478149,0.000000,0.000000,0.000000,0.000000,0.000000
-180.208740,-179.846191,87.138718,87.138809,180.917358,0.000000,0.000000,0.000000,0.000000,0.000000
-181.620483,-181.268921,85.915009,85.914215,182.307129,0.000000,0.000000,0.000000,0.000000,0.000000
-182.993774,-182.653198,84.671638,84.671806,183.652954,0.000000,0.000000,0.000000,0.000000,0.000000
-184.306641,-183.982544,83.408829,83.409927,184.938354,0.000000,0.000000,0.000000,0.000000,0.000000
-185.564575,-185.251465,82.126755,82.126785,186.201782,0.000000,0.000000,0.000000,0.000000,0.000000
-186.811523,-186.509399,80.825706,80.824600,187.410278,0.000000,0.000000,0.000000,0.000000,0.000000
-187.992554,-187.706909,79.505890,79.507492,188.558350,0.000000,0.000000,0.000000,0.000000,0.000000
-189.113159,-188.838501,78.167557,78.167915,189.651489,0.000000,0.000000,0.000000,0.000000,0.000000
-190.178833,-189.920654,76.810944,76.811958,190.706177,0.000000,0.000000,0.000000,0.000000,0.000000
-191.206055,-190.964355,75.436340,75.435982,191.689453,0.000000,0.000000,0.000000,0.000000,0.000000
-192.139893,-191.914673,74.044006,74.044144,192.579346,0.000000,0.000000,0.000000,0.000000,0.000000
-192.996826,-192.793579,72.634148,72.634720,193.392334,0.000000,0.000000,0.000000,0.000000,0.000000
-193.765869,-193.584595,71.207092,71.208038,194.111938,0.000000,0.000000,0.000000,0.000000,0.000000
-194.447021,-194.282227,69.763084,69.762390,194.760132,0.000000,0.000000,0.000000,0.000000,0.000000
-195.056763,-194.913940,68.302429,68.301949,195.325928,0.000000,0.000000,0.000000,0.000000,0.000000
-195.573120,-195.457764,66.825371,66.825066,195.798340,0.000000,0.000000,0.000000,0.000000,0.000000
-196.001587,-195.908203,65.332230,65.333969,196.182861,0.000000,0.000000,0.000000,0.000000,0.000000
-196.342163,-196.259766,63.823299,63.823654,196.484985,0.000000,0.000000,0.000000,0.000000,0.000000
-196.605835,-196.550903,62.298882,62.299587,196.704712,0.000000,0.000000,0.000000,0.000000,0.000000
-196.787109,-196.748657,60.759274,60.758884,196.842041,0.000000,0.000000,0.000000,0.000000,0.000000
-196.880493,-196.864014,59.204781,59.204144,196.896973,0.000000,0.000000,0.000000,0.000000,0.000000
-196.907959,-196.907959,57.635731,57.634823,196.907959,0.000000,0.000000,0.000000,0.000000,0.000000
-196.891479,-196.907959,56.052395,56.052090,196.858521,0.000000,0.000000,0.000000,0.000000,0.000000
-196.820068,-196.842041,54.455189,54.455368,196.770630,0.000000,0.000000,0.000000,0.000000,0.000000
-196.704712,-196.737671,52.844345,52.844009,196.644287,0.000000,0.000000,0.000000,0.000000,0.000000
-196.567383,-196.605835,51.220261,51.220249,196.495972,0.000000,0.000000,0.000000,0.000000,0.000000
-196.419067,-196.463013,49.583237,49.583519,196.325684,0.000000,0.000000,0.000000,0.000000,0.000000
-196.226807,-196.281738,47.933620,47.934082,196.133423,0.000000,0.000000,0.000000,0.000000,0.000000
-196.045532,-196.083984,46.271755,46.272335,195.952148,0.000000,0.000000,0.000000,0.000000,0.000000
-195.814819,-195.891724,44.598019,44.598602,195.677490,0.000000,0.000000,0.000000,0.000000,0.000000
-195.534668,-195.606079,42.912739,42.912262,195.380859,0.000000,0.000000,0.000000,0.000000,0.000000
-195.205078,-195.292969,41.216293,41.216621,195.029297,0.000000,0.000000,0.000000,0.000000,0.000000
-194.853516,-194.941406,39.509033,39.509094,194.661255,0.000000,0.000000,0.000000,0.000000,0.000000
-194.447021,-194.556885,37.791283,37.791019,194.227295,0.000000,0.000000,0.000000,0.000000,0.000000
-194.002075,-194.117432,36.063477,36.063736,193.771362,0.000000,0.000000,0.000000,0.000000,0.000000
-193.518677,-193.645020,34.325985,34.325703,193.249512,0.000000,0.000000,0.000000,0.000000,0.000000
-192.963867,-193.106689,32.579163,32.579216,192.678223,0.000000,0.000000,0.000000,0.000000,0.000000
-192.387085,-192.529907,30.823387,30.823709,192.084961,0.000000,0.000000,0.000000,0.000000,0.000000
-191.782837,-191.931152,29.059050,29.059029,191.475220,0.000000,0.000000,0.000000,0.000000,0.000000
-191.156616,-191.315918,27.286562,27.286589,190.843506,0.000000,0.000000,0.000000,0.000000,0.000000
-190.541382,-190.689697,25.506321,25.506268,190.228271,0.000000,0.000000,0.000000,0.000000,0.000000
-189.915161,-190.068970,23.718637,23.718491,189.613037,0.000000,0.000000,0.000000,0.000000,0.000000
-189.299927,-189.459229,21.924053,21.924112,188.997803,0.000000,0.000000,0.000000,0.000000,0.000000
-188.684692,-188.838501,20.122829,20.122566,188.382568,0.000000,0.000000,0.000000,0.000000,0.000000
-188.085938,-188.234253,18.315458,18.315718,187.794800,0.000000,0.000000,0.000000,0.000000,0.000000
-187.492676,-187.646484,16.502350,16.502052,187.185059,0.000000,0.000000,0.000000,0.000000,0.000000
-186.882935,-187.036743,14.683860,14.683905,186.591797,0.000000,0.000000,0.000000,0.000000,0.000000
-186.311646,-186.448975,12.860490,12.860502,186.020508,0.000000,0.000000,0.000000,0.000000,0.000000
-185.734863,-185.883179,11.032571,11.032691,185.438232,0.000000,0.000000,0.000000,0.000000,0.000000
-185.141602,-185.289917,9.200584,9.200460,184.839478,0.000000,0.000000,0.000000,0.000000,0.000000
-184.548340,-184.696655,7.364924,7.364940,184.240723,0.000000,0.000000,0.000000,0.000000,0.000000
-183.938599,-184.092407,5.526018,5.526065,183.619995,0.000000,0.000000,0.000000,0.000000,0.000000
-183.295898,-183.455200,3.684322,3.684310,182.977295,0.000000,0.000000,0.000000,0.000000,0.000000
-182.642212,-182.812500,1.840242,1.840242,182.312622,0.000000,0.000000,0.000000,0.000000,0.000000
-181.983032,-182.147827,-0.005818,-0.005818,181.653442,0.000000,0.000000,0.000000,0.000000,0.000000
-181.318359,-181.488647,-1.853336,-1.853361,180.977783,0.000000,0.000000,0.000000,0.000000,0.000000
-180.631714,-180.807495,-3.701930,-3.701945,180.274658,0.000000,0.000000,0.000000,0.000000,0.000000
-179.939575,-180.104370,-5.551131,-5.551067,179.582520,0.000000,0.000000,0.000000,0.000000,0.000000
-179.230957,-179.406738,-7.400583,-7.400519,178.873901,0.000000,0.000000,0.000000,0.000000,0.000000
-178.527832,-178.703613,-9.249726,-9.249624,178.176270,0.000000,0.000000,0.000000,0.000000,0.000000
-177.819214,-177.994995,-11.098173,-11.098322,177.467651,0.000000,0.000000,0.000000,0.000000,0.000000
-177.116089,-177.291870,-12.945474,-12.945471,176.759033,0.000000,0.000000,0.000000,0.000000,0.000000
-176.390991,-176.577759,-14.791153,-14.791080,176.022949,0.000000,0.000000,0.000000,0.000000,0.000000
-175.676880,-175.847168,-16.634787,-16.635031,175.314331,0.000000,0.000000,0.000000,0.000000,0.000000
-174.951782,-175.133057,-18.475924,-18.475895,174.589233,0.000000,0.000000,0.000000,0.000000,0.000000
-174.232178,-174.407959,-20.314110,-20.314352,173.853149,0.000000,0.000000,0.000000,0.000000,0.000000
-173.474121,-173.660889,-22.148867,-22.148514,173.089600,0.000000,0.000000,0.000000,0.000000,0.000000
-172.721558,-172.908325,-23.979734,-23.979965,172.326050,0.000000,0.000000,0.000000,0.000000,0.000000
-171.914063,-172.122803,-25.806341,-25.806152,171.513062,0.000000,0.000000,0.000000,0.000000,0.000000
-171.106567,-171.315308,-27.628120,-27.628254,170.683594,0.000000,0.000000,0.000000,0.000000,0.000000
-170.255127,-170.469360,-29.444698,-29.444696,169.821167,0.000000,0.000000,0.000000,0.000000,0.000000
-169.365234,-169.595947,-31.255507,-31.255539,168.920288,0.000000,0.000000,0.000000,0.000000,0.000000
-168.475342,-168.700562,-33.060249,-33.059860,168.002930,0.000000,0.000000,0.000000,0.000000,0.000000
-167.536011,-167.766724,-34.858330,-34.857719,167.069092,0.000000,0.000000,0.000000,0.000000,0.000000
-166.585693,-166.827393,-36.649326,-36.648571,166.118774,0.000000,0.000000,0.000000,0.000000,0.000000
-165.640869,-165.877075,-38.432823,-38.432995,165.157471,0.000000,0.000000,0.000000,0.000000,0.000000
-164.685059,-164.915771,-40.208332,-40.208603,164.212646,0.000000,0.000000,0.000000,0.000000,0.000000
-163.734741,-163.976440,-41.975380,-41.974850,163.267822,0.000000,0.000000,0.000000,0.000000,0.000000
-162.778931,-163.026123,-43.733528,-43.734322,162.284546,0.000000,0.000000,0.000000,0.000000,0.000000
-161.828613,-162.059326,-45.482292,-45.481571,161.339722,0.000000,0.000000,0.000000,0.000000,0.000000
-160.872803,-161.109009,-47.221348,-47.221096,160.394897,0.000000,0.000000,0.000000,0.000000,0.000000
-159.922485,-160.164185,-48.950130,-48.949570,159.422607,0.000000,0.000000,0.000000,0.000000,0.000000
-158.939209,-159.180908,-50.668163,-50.668404,158.433838,0.000000,0.000000,0.000000,0.000000,0.000000
-157.939453,-158.186646,-52.375008,-52.375137,157.445068,0.000000,0.000000,0.000000,0.000000,0.000000
-156.939697,-157.192383,-54.070240,-54.069370,156.428833,0.000000,0.000000,0.000000,0.000000,0.000000
-155.917969,-156.176147,-55.753307,-55.753609,155.385132,0.000000,0.000000,0.000000,0.000000,0.000000
-154.857788,-155.115967,-57.423885,-57.424412,154.319458,0.000000,0.000000,0.000000,0.000000,0.000000
-153.770142,-154.044800,-59.081413,-59.081360,153.226318,0.000000,0.000000,0.000000,0.000000,0.000000
-152.671509,-152.951660,-60.725533,-60.725002,152.111206,0.000000,0.000000,0.000000,0.000000,0.000000
-151.561890,-151.836548,-62.355736,-62.355801,150.990601,0.000000,0.000000,0.000000,0.000000,0.000000
-150.413818,-150.704956,-63.971638,-63.971397,149.842529,0.000000,0.000000,0.000000,0.000000,0.000000
-149.254761,-149.551392,-65.572754,-65.572311,148.661499,0.000000,0.000000,0.000000,0.000000,0.000000
-148.084717,-148.375854,-67.158623,-67.160095,147.491455,0.000000,0.000000,0.000000,0.000000,0.000000
-146.881714,-147.189331,-68.728821,-68.730347,146.277466,0.000000,0.000000,0.000000,0.000000,0.000000
-145.640259,-145.958862,-70.282928,-70.282692,144.997559,0.000000,0.000000,0.000000,0.000000,0.000000
-144.365845,-144.684448,-71.820526,-71.820526,143.717651,0.000000,0.000000,0.000000,0.000000,0.000000
-143.063965,-143.393555,-73.341171,-73.341515,142.415771,0.000000,0.000000,0.000000,0.000000,0.000000
-141.734619,-142.080688,-74.844376,-74.845215,141.042480,0.000000,0.000000,0.000000,0.000000,0.000000
-140.361328,-140.701904,-76.329803,-76.329262,139.680176,0.000000,0.000000,0.000000,0.000000,0.000000
-138.988037,-139.334106,-77.796959,-77.797142,138.301392,0.000000,0.000000,0.000000,0.000000,0.000000
-137.609253,-137.955322,-79.245461,-79.244484,136.900635,0.000000,0.000000,0.000000,0.000000,0.000000
-136.186523,-136.543579,-80.674881,-80.674797,135.483398,0.000000,0.000000,0.000000,0.000000,0.000000
-134.785767,-135.131836,-82.084854,-82.085777,134.077148,0.000000,0.000000,0.000000,0.000000,0.000000
-133.363037,-133.720093,-83.474876,-83.474945,132.632446,0.000000,0.000000,0.000000,0.000000,0.000000
-131.890869,-132.264404,-84.844597,-84.843910,131.149292,0.000000,0.000000,0.000000,0.000000,0.000000
-130.407715,-130.775757,-86.193642,-86.194252,129.671631,0.000000,0.000000,0.000000,0.000000,0.000000
-128.924561,-129.298096,-87.521538,-87.521667,128.155518,0.000000,0.000000,0.000000,0.000000,0.000000
-127.386475,-127.770996,-88.827995,-88.827637,126.617432,0.000000,0.000000,0.000000,0.000000,0.000000
-125.848389,-126.232910,-90.112534,-90.111809,125.073853,0.000000,0.000000,0.000000,0.000000,0.000000
